m49,iso,year,indicator_id,old_indicator_id,value
533,ABW,2017,1,#N/A,Not Available
533,ABW,2017,2,1217,0
533,ABW,2017,3,1210,No
533,ABW,2017,6,1216,1
533,ABW,2017,8,1304,Yes
533,ABW,2017,9,1311,Not Available
533,ABW,2017,10,1312,Not Available
533,ABW,2017,11,1313,Not Available
533,ABW,2017,12,1203,Yes
533,ABW,2017,13,1403,0
533,ABW,2017,14,1402,0
533,ABW,2017,16,1503,1.310305357
533,ABW,2017,18,1306,Not Available
533,ABW,2017,23,1215,No
533,ABW,2017,24,1213,Yes
533,ABW,2017,25,1214,Yes
533,ABW,2017,29,1315,Not Available
533,ABW,2017,31,1111,No
533,ABW,2017,32,1301,No
533,ABW,2017,34,1307,Not Available
533,ABW,2013,35,1106,
533,ABW,2014,35,1106,
533,ABW,2015,35,1106,
533,ABW,2016,35,1106,
533,ABW,2017,35,1106,
533,ABW,2017,36,1316,Not Available
533,ABW,2017,37,1501,0.859493256
533,ABW,2017,38,1317,Not Available
533,ABW,2017,41,1319,Not Available
533,ABW,2017,42,1108,No
533,ABW,2017,43,1303,0
533,ABW,2017,44,1320,Not Available
533,ABW,2017,45,1109,High Income
533,ABW,2017,46,1321,Not Available
533,ABW,2017,47,1322,Not Available
533,ABW,2018,48,35,1
533,ABW,2017,49,1112,No
533,ABW,2017,50,1212,Yes
533,ABW,2017,51,1603,Not Available
533,ABW,2017,52,1337,Not Available
533,ABW,2017,53,1604,Not Available
533,ABW,2017,54,1602,Not Available
533,ABW,2017,55,1605,Not Available
533,ABW,2017,56,1606,Not Available
533,ABW,2017,57,1323,Not Available
533,ABW,2017,58,1222,Not Available
533,ABW,2017,60,1202,No
533,ABW,2018,61,13,0
533,ABW,2018,63,47,0
533,ABW,2017,64,1326,Not Available
533,ABW,2018,66,,0
533,ABW,2017,70,1507,Not Available
533,ABW,2017,71,1509,Not Available
533,ABW,2017,72,1508,Not Available
533,ABW,2017,73,1511,Not Available
533,ABW,2017,74,1512,Not Available
533,ABW,2017,77,1114,http://www.cbs.aw/
533,ABW,2017,90,1206,Yes
533,ABW,2017,91,1502,Not Available
533,ABW,2017,92,1327,Not Available
533,ABW,2013,94,1105,103187
533,ABW,2014,94,1105,103795
533,ABW,2015,94,1105,104341
533,ABW,2016,94,1105,104822
533,ABW,2017,94,1105,105264
533,ABW,2017,97,1208,Yes
533,ABW,2017,99,1331,Not Available
533,ABW,2017,100,1207,Yes
533,ABW,2017,101,1514,Not Available
533,ABW,2017,102,1504,1.384168148
