m49,iso,country,subregion,region,intermediate_region_name,region_code,subregion_code,intermediate_region_code,ldc,lldc,sids,developed
12,DZA,Algeria,Northern Africa,Africa,,2,15,,,,,Developing
818,EGY,Egypt,Northern Africa,Africa,,2,15,,,,,Developing
434,LBY,Libya,Northern Africa,Africa,,2,15,,,,,Developing
504,MAR,Morocco,Northern Africa,Africa,,2,15,,,,,Developing
729,SDN,Sudan,Northern Africa,Africa,,2,15,,x,,,Developing
788,TUN,Tunisia,Northern Africa,Africa,,2,15,,,,,Developing
732,ESH,Western Sahara,Northern Africa,Africa,,2,15,,,,,Developing
24,AGO,Angola,Sub-Saharan Africa,Africa,Middle Africa,2,202,17,x,,,Developing
204,BEN,Benin,Sub-Saharan Africa,Africa,Western Africa,2,202,11,x,,,Developing
72,BWA,Botswana,Sub-Saharan Africa,Africa,Southern Africa,2,202,18,,x,,Developing
86,IOT,British Indian Ocean Territory,Sub-Saharan Africa,Africa,Eastern Africa,2,202,14,,,,Developing
854,BFA,Burkina Faso,Sub-Saharan Africa,Africa,Western Africa,2,202,11,x,x,,Developing
108,BDI,Burundi,Sub-Saharan Africa,Africa,Eastern Africa,2,202,14,x,x,,Developing
132,CPV,Cabo Verde,Sub-Saharan Africa,Africa,Western Africa,2,202,11,,,x,Developing
120,CMR,Cameroon,Sub-Saharan Africa,Africa,Middle Africa,2,202,17,,,,Developing
140,CAF,Central African Republic,Sub-Saharan Africa,Africa,Middle Africa,2,202,17,x,x,,Developing
148,TCD,Chad,Sub-Saharan Africa,Africa,Middle Africa,2,202,17,x,x,,Developing
174,COM,Comoros,Sub-Saharan Africa,Africa,Eastern Africa,2,202,14,x,,x,Developing
178,COG,Congo,Sub-Saharan Africa,Africa,Middle Africa,2,202,17,,,,Developing
384,CIV,Côte d’Ivoire,Sub-Saharan Africa,Africa,Western Africa,2,202,11,,,,Developing
180,COD,Democratic Republic of the Congo,Sub-Saharan Africa,Africa,Middle Africa,2,202,17,x,,,Developing
262,DJI,Djibouti,Sub-Saharan Africa,Africa,Eastern Africa,2,202,14,x,,,Developing
226,GNQ,Equatorial Guinea,Sub-Saharan Africa,Africa,Middle Africa,2,202,17,,,,Developing
232,ERI,Eritrea,Sub-Saharan Africa,Africa,Eastern Africa,2,202,14,x,,,Developing
748,SWZ,Eswatini,Sub-Saharan Africa,Africa,Southern Africa,2,202,18,,x,,Developing
231,ETH,Ethiopia,Sub-Saharan Africa,Africa,Eastern Africa,2,202,14,x,x,,Developing
260,ATF,French Southern Territories,Sub-Saharan Africa,Africa,Eastern Africa,2,202,14,,,,Developing
266,GAB,Gabon,Sub-Saharan Africa,Africa,Middle Africa,2,202,17,,,,Developing
270,GMB,Gambia,Sub-Saharan Africa,Africa,Western Africa,2,202,11,x,,,Developing
288,GHA,Ghana,Sub-Saharan Africa,Africa,Western Africa,2,202,11,,,,Developing
324,GIN,Guinea,Sub-Saharan Africa,Africa,Western Africa,2,202,11,x,,,Developing
624,GNB,Guinea-Bissau,Sub-Saharan Africa,Africa,Western Africa,2,202,11,x,,x,Developing
404,KEN,Kenya,Sub-Saharan Africa,Africa,Eastern Africa,2,202,14,,,,Developing
426,LSO,Lesotho,Sub-Saharan Africa,Africa,Southern Africa,2,202,18,x,x,,Developing
430,LBR,Liberia,Sub-Saharan Africa,Africa,Western Africa,2,202,11,x,,,Developing
450,MDG,Madagascar,Sub-Saharan Africa,Africa,Eastern Africa,2,202,14,x,,,Developing
454,MWI,Malawi,Sub-Saharan Africa,Africa,Eastern Africa,2,202,14,x,x,,Developing
466,MLI,Mali,Sub-Saharan Africa,Africa,Western Africa,2,202,11,x,x,,Developing
478,MRT,Mauritania,Sub-Saharan Africa,Africa,Western Africa,2,202,11,x,,,Developing
480,MUS,Mauritius,Sub-Saharan Africa,Africa,Eastern Africa,2,202,14,,,x,Developing
175,MYT,Mayotte,Sub-Saharan Africa,Africa,Eastern Africa,2,202,14,,,,Developing
508,MOZ,Mozambique,Sub-Saharan Africa,Africa,Eastern Africa,2,202,14,x,,,Developing
516,NAM,Namibia,Sub-Saharan Africa,Africa,Southern Africa,2,202,18,,,,Developing
562,NER,Niger,Sub-Saharan Africa,Africa,Western Africa,2,202,11,x,x,,Developing
566,NGA,Nigeria,Sub-Saharan Africa,Africa,Western Africa,2,202,11,,,,Developing
638,REU,Réunion,Sub-Saharan Africa,Africa,Eastern Africa,2,202,14,,,,Developing
646,RWA,Rwanda,Sub-Saharan Africa,Africa,Eastern Africa,2,202,14,x,x,,Developing
654,SHN,Saint Helena,Sub-Saharan Africa,Africa,Western Africa,2,202,11,,,,Developing
678,STP,Sao Tome and Principe,Sub-Saharan Africa,Africa,Middle Africa,2,202,17,x,,x,Developing
686,SEN,Senegal,Sub-Saharan Africa,Africa,Western Africa,2,202,11,x,,,Developing
690,SYC,Seychelles,Sub-Saharan Africa,Africa,Eastern Africa,2,202,14,,,x,Developing
694,SLE,Sierra Leone,Sub-Saharan Africa,Africa,Western Africa,2,202,11,x,,,Developing
706,SOM,Somalia,Sub-Saharan Africa,Africa,Eastern Africa,2,202,14,x,,,Developing
710,ZAF,South Africa,Sub-Saharan Africa,Africa,Southern Africa,2,202,18,,,,Developing
728,SSD,South Sudan,Sub-Saharan Africa,Africa,Eastern Africa,2,202,14,x,x,,Developing
768,TGO,Togo,Sub-Saharan Africa,Africa,Western Africa,2,202,11,x,,,Developing
800,UGA,Uganda,Sub-Saharan Africa,Africa,Eastern Africa,2,202,14,x,x,,Developing
834,TZA,United Republic of Tanzania,Sub-Saharan Africa,Africa,Eastern Africa,2,202,14,x,,,Developing
894,ZMB,Zambia,Sub-Saharan Africa,Africa,Eastern Africa,2,202,14,x,x,,Developing
716,ZWE,Zimbabwe,Sub-Saharan Africa,Africa,Eastern Africa,2,202,14,,x,,Developing
660,AIA,Anguilla,Latin America and the Caribbean,Americas,Caribbean,19,419,29,,,x,Developing
28,ATG,Antigua and Barbuda,Latin America and the Caribbean,Americas,Caribbean,19,419,29,,,x,Developing
32,ARG,Argentina,Latin America and the Caribbean,Americas,South America,19,419,5,,,,Developing
533,ABW,Aruba,Latin America and the Caribbean,Americas,Caribbean,19,419,29,,,x,Developing
44,BHS,Bahamas,Latin America and the Caribbean,Americas,Caribbean,19,419,29,,,x,Developing
52,BRB,Barbados,Latin America and the Caribbean,Americas,Caribbean,19,419,29,,,x,Developing
84,BLZ,Belize,Latin America and the Caribbean,Americas,Central America,19,419,13,,,x,Developing
68,BOL,Bolivia (Plurinational State of),Latin America and the Caribbean,Americas,South America,19,419,5,,x,,Developing
535,BES,"Bonaire, Sint Eustatius and Saba",Latin America and the Caribbean,Americas,Caribbean,19,419,29,,,x,Developing
74,BVT,Bouvet Island,Latin America and the Caribbean,Americas,South America,19,419,5,,,,Developing
76,BRA,Brazil,Latin America and the Caribbean,Americas,South America,19,419,5,,,,Developing
92,VGB,British Virgin Islands,Latin America and the Caribbean,Americas,Caribbean,19,419,29,,,x,Developing
136,CYM,Cayman Islands,Latin America and the Caribbean,Americas,Caribbean,19,419,29,,,,Developing
152,CHL,Chile,Latin America and the Caribbean,Americas,South America,19,419,5,,,,Developing
170,COL,Colombia,Latin America and the Caribbean,Americas,South America,19,419,5,,,,Developing
188,CRI,Costa Rica,Latin America and the Caribbean,Americas,Central America,19,419,13,,,,Developing
192,CUB,Cuba,Latin America and the Caribbean,Americas,Caribbean,19,419,29,,,x,Developing
531,CUW,Curaçao,Latin America and the Caribbean,Americas,Caribbean,19,419,29,,,x,Developing
212,DMA,Dominica,Latin America and the Caribbean,Americas,Caribbean,19,419,29,,,x,Developing
214,DOM,Dominican Republic,Latin America and the Caribbean,Americas,Caribbean,19,419,29,,,x,Developing
218,ECU,Ecuador,Latin America and the Caribbean,Americas,South America,19,419,5,,,,Developing
222,SLV,El Salvador,Latin America and the Caribbean,Americas,Central America,19,419,13,,,,Developing
238,FLK,Falkland Islands (Malvinas),Latin America and the Caribbean,Americas,South America,19,419,5,,,,Developing
254,GUF,French Guiana,Latin America and the Caribbean,Americas,South America,19,419,5,,,,Developing
308,GRD,Grenada,Latin America and the Caribbean,Americas,Caribbean,19,419,29,,,x,Developing
312,GLP,Guadeloupe,Latin America and the Caribbean,Americas,Caribbean,19,419,29,,,,Developing
320,GTM,Guatemala,Latin America and the Caribbean,Americas,Central America,19,419,13,,,,Developing
328,GUY,Guyana,Latin America and the Caribbean,Americas,South America,19,419,5,,,x,Developing
332,HTI,Haiti,Latin America and the Caribbean,Americas,Caribbean,19,419,29,x,,x,Developing
340,HND,Honduras,Latin America and the Caribbean,Americas,Central America,19,419,13,,,,Developing
388,JAM,Jamaica,Latin America and the Caribbean,Americas,Caribbean,19,419,29,,,x,Developing
474,MTQ,Martinique,Latin America and the Caribbean,Americas,Caribbean,19,419,29,,,,Developing
484,MEX,Mexico,Latin America and the Caribbean,Americas,Central America,19,419,13,,,,Developing
500,MSR,Montserrat,Latin America and the Caribbean,Americas,Caribbean,19,419,29,,,x,Developing
558,NIC,Nicaragua,Latin America and the Caribbean,Americas,Central America,19,419,13,,,,Developing
591,PAN,Panama,Latin America and the Caribbean,Americas,Central America,19,419,13,,,,Developing
600,PRY,Paraguay,Latin America and the Caribbean,Americas,South America,19,419,5,,x,,Developing
604,PER,Peru,Latin America and the Caribbean,Americas,South America,19,419,5,,,,Developing
630,PRI,Puerto Rico,Latin America and the Caribbean,Americas,Caribbean,19,419,29,,,x,Developing
652,BLM,Saint Barthélemy,Latin America and the Caribbean,Americas,Caribbean,19,419,29,,,,Developing
659,KNA,Saint Kitts and Nevis,Latin America and the Caribbean,Americas,Caribbean,19,419,29,,,x,Developing
662,LCA,Saint Lucia,Latin America and the Caribbean,Americas,Caribbean,19,419,29,,,x,Developing
663,MAF,Saint Martin (French Part),Latin America and the Caribbean,Americas,Caribbean,19,419,29,,,,Developing
670,VCT,Saint Vincent and the Grenadines,Latin America and the Caribbean,Americas,Caribbean,19,419,29,,,x,Developing
534,SXM,Sint Maarten (Dutch part),Latin America and the Caribbean,Americas,Caribbean,19,419,29,,,x,Developing
239,SGS,South Georgia and the South Sandwich Islands,Latin America and the Caribbean,Americas,South America,19,419,5,,,,Developing
740,SUR,Suriname,Latin America and the Caribbean,Americas,South America,19,419,5,,,x,Developing
780,TTO,Trinidad and Tobago,Latin America and the Caribbean,Americas,Caribbean,19,419,29,,,x,Developing
796,TCA,Turks and Caicos Islands,Latin America and the Caribbean,Americas,Caribbean,19,419,29,,,,Developing
850,VIR,United States Virgin Islands,Latin America and the Caribbean,Americas,Caribbean,19,419,29,,,x,Developing
858,URY,Uruguay,Latin America and the Caribbean,Americas,South America,19,419,5,,,,Developing
862,VEN,Venezuela (Bolivarian Republic of),Latin America and the Caribbean,Americas,South America,19,419,5,,,,Developing
60,BMU,Bermuda,Northern America,Americas,,19,21,,,,,Developed
124,CAN,Canada,Northern America,Americas,,19,21,,,,,Developed
304,GRL,Greenland,Northern America,Americas,,19,21,,,,,Developed
666,SPM,Saint Pierre and Miquelon,Northern America,Americas,,19,21,,,,,Developed
840,USA,United States of America,Northern America,Americas,,19,21,,,,,Developed
398,KAZ,Kazakhstan,Central Asia,Asia,,142,143,,,x,,Developing
417,KGZ,Kyrgyzstan,Central Asia,Asia,,142,143,,,x,,Developing
762,TJK,Tajikistan,Central Asia,Asia,,142,143,,,x,,Developing
795,TKM,Turkmenistan,Central Asia,Asia,,142,143,,,x,,Developing
860,UZB,Uzbekistan,Central Asia,Asia,,142,143,,,x,,Developing
156,CHN,China,Eastern Asia,Asia,,142,30,,,,,Developing
344,HKG,"China, Hong Kong Special Administrative Region",Eastern Asia,Asia,,142,30,,,,,Developing
446,MAC,"China, Macao Special Administrative Region",Eastern Asia,Asia,,142,30,,,,,Developing
408,PRK,Democratic People's Republic of Korea,Eastern Asia,Asia,,142,30,,,,,Developing
392,JPN,Japan,Eastern Asia,Asia,,142,30,,,,,Developed
496,MNG,Mongolia,Eastern Asia,Asia,,142,30,,,x,,Developing
410,KOR,Republic of Korea,Eastern Asia,Asia,,142,30,,,,,Developing
96,BRN,Brunei Darussalam,South-eastern Asia,Asia,,142,35,,,,,Developing
116,KHM,Cambodia,South-eastern Asia,Asia,,142,35,,x,,,Developing
360,IDN,Indonesia,South-eastern Asia,Asia,,142,35,,,,,Developing
418,LAO,Lao People's Democratic Republic,South-eastern Asia,Asia,,142,35,,x,x,,Developing
458,MYS,Malaysia,South-eastern Asia,Asia,,142,35,,,,,Developing
104,MMR,Myanmar,South-eastern Asia,Asia,,142,35,,x,,,Developing
608,PHL,Philippines,South-eastern Asia,Asia,,142,35,,,,,Developing
702,SGP,Singapore,South-eastern Asia,Asia,,142,35,,,,x,Developing
764,THA,Thailand,South-eastern Asia,Asia,,142,35,,,,,Developing
626,TLS,Timor-Leste,South-eastern Asia,Asia,,142,35,,x,,x,Developing
704,VNM,Viet Nam,South-eastern Asia,Asia,,142,35,,,,,Developing
4,AFG,Afghanistan,Southern Asia,Asia,,142,34,,x,x,,Developing
50,BGD,Bangladesh,Southern Asia,Asia,,142,34,,x,,,Developing
64,BTN,Bhutan,Southern Asia,Asia,,142,34,,x,x,,Developing
356,IND,India,Southern Asia,Asia,,142,34,,,,,Developing
364,IRN,Iran (Islamic Republic of),Southern Asia,Asia,,142,34,,,,,Developing
462,MDV,Maldives,Southern Asia,Asia,,142,34,,,,x,Developing
524,NPL,Nepal,Southern Asia,Asia,,142,34,,x,x,,Developing
586,PAK,Pakistan,Southern Asia,Asia,,142,34,,,,,Developing
144,LKA,Sri Lanka,Southern Asia,Asia,,142,34,,,,,Developing
51,ARM,Armenia,Western Asia,Asia,,142,145,,,x,,Developing
31,AZE,Azerbaijan,Western Asia,Asia,,142,145,,,x,,Developing
48,BHR,Bahrain,Western Asia,Asia,,142,145,,,,,Developing
196,CYP,Cyprus,Western Asia,Asia,,142,145,,,,,Developed
268,GEO,Georgia,Western Asia,Asia,,142,145,,,,,Developing
368,IRQ,Iraq,Western Asia,Asia,,142,145,,,,,Developing
376,ISR,Israel,Western Asia,Asia,,142,145,,,,,Developed
400,JOR,Jordan,Western Asia,Asia,,142,145,,,,,Developing
414,KWT,Kuwait,Western Asia,Asia,,142,145,,,,,Developing
422,LBN,Lebanon,Western Asia,Asia,,142,145,,,,,Developing
512,OMN,Oman,Western Asia,Asia,,142,145,,,,,Developing
634,QAT,Qatar,Western Asia,Asia,,142,145,,,,,Developing
682,SAU,Saudi Arabia,Western Asia,Asia,,142,145,,,,,Developing
275,PSE,State of Palestine,Western Asia,Asia,,142,145,,,,,Developing
760,SYR,Syrian Arab Republic,Western Asia,Asia,,142,145,,,,,Developing
792,TUR,Turkey,Western Asia,Asia,,142,145,,,,,Developing
784,ARE,United Arab Emirates,Western Asia,Asia,,142,145,,,,,Developing
887,YEM,Yemen,Western Asia,Asia,,142,145,,x,,,Developing
112,BLR,Belarus,Eastern Europe,Europe,,150,151,,,,,Developed
100,BGR,Bulgaria,Eastern Europe,Europe,,150,151,,,,,Developed
203,CZE,Czechia,Eastern Europe,Europe,,150,151,,,,,Developed
348,HUN,Hungary,Eastern Europe,Europe,,150,151,,,,,Developed
616,POL,Poland,Eastern Europe,Europe,,150,151,,,,,Developed
498,MDA,Republic of Moldova,Eastern Europe,Europe,,150,151,,,x,,Developed
642,ROU,Romania,Eastern Europe,Europe,,150,151,,,,,Developed
643,RUS,Russian Federation,Eastern Europe,Europe,,150,151,,,,,Developed
703,SVK,Slovakia,Eastern Europe,Europe,,150,151,,,,,Developed
804,UKR,Ukraine,Eastern Europe,Europe,,150,151,,,,,Developed
248,ALA,Åland Islands,Northern Europe,Europe,,150,154,,,,,Developed
208,DNK,Denmark,Northern Europe,Europe,,150,154,,,,,Developed
233,EST,Estonia,Northern Europe,Europe,,150,154,,,,,Developed
234,FRO,Faroe Islands,Northern Europe,Europe,,150,154,,,,,Developed
246,FIN,Finland,Northern Europe,Europe,,150,154,,,,,Developed
831,GGY,Guernsey,Northern Europe,Europe,Channel Islands,150,154,830,,,,Developed
352,ISL,Iceland,Northern Europe,Europe,,150,154,,,,,Developed
372,IRL,Ireland,Northern Europe,Europe,,150,154,,,,,Developed
833,IMN,Isle of Man,Northern Europe,Europe,,150,154,,,,,Developed
832,JEY,Jersey,Northern Europe,Europe,Channel Islands,150,154,830,,,,Developed
428,LVA,Latvia,Northern Europe,Europe,,150,154,,,,,Developed
440,LTU,Lithuania,Northern Europe,Europe,,150,154,,,,,Developed
578,NOR,Norway,Northern Europe,Europe,,150,154,,,,,Developed
,,Sark,Northern Europe,Europe,Channel Islands,150,154,830,,,,Developed
744,SJM,Svalbard and Jan Mayen Islands,Northern Europe,Europe,,150,154,,,,,Developed
752,SWE,Sweden,Northern Europe,Europe,,150,154,,,,,Developed
826,GBR,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,,150,154,,,,,Developed
8,ALB,Albania,Southern Europe,Europe,,150,39,,,,,Developed
20,AND,Andorra,Southern Europe,Europe,,150,39,,,,,Developed
70,BIH,Bosnia and Herzegovina,Southern Europe,Europe,,150,39,,,,,Developed
191,HRV,Croatia,Southern Europe,Europe,,150,39,,,,,Developed
292,GIB,Gibraltar,Southern Europe,Europe,,150,39,,,,,Developed
300,GRC,Greece,Southern Europe,Europe,,150,39,,,,,Developed
336,VAT,Holy See,Southern Europe,Europe,,150,39,,,,,Developed
380,ITA,Italy,Southern Europe,Europe,,150,39,,,,,Developed
470,MLT,Malta,Southern Europe,Europe,,150,39,,,,,Developed
499,MNE,Montenegro,Southern Europe,Europe,,150,39,,,,,Developed
620,PRT,Portugal,Southern Europe,Europe,,150,39,,,,,Developed
674,SMR,San Marino,Southern Europe,Europe,,150,39,,,,,Developed
688,SRB,Serbia,Southern Europe,Europe,,150,39,,,,,Developed
705,SVN,Slovenia,Southern Europe,Europe,,150,39,,,,,Developed
724,ESP,Spain,Southern Europe,Europe,,150,39,,,,,Developed
807,MKD,The former Yugoslav Republic of Macedonia,Southern Europe,Europe,,150,39,,,x,,Developed
40,AUT,Austria,Western Europe,Europe,,150,155,,,,,Developed
56,BEL,Belgium,Western Europe,Europe,,150,155,,,,,Developed
