M49,iso,country,subregion,region,irm,Region Code,Sub-region Code,Intermediate Region Code,ldc,lldc,sids,Developed / Developing Countries,displayed
533,ABW,Aruba,Latin America and the Caribbean,Americas,Caribbean,19,419,29,0,0,1,Developing,1
4,AFG,Afghanistan,Southern Asia,Asia,,142,34,,1,1,0,Developing,1
24,AGO,Angola,Sub-Saharan Africa,Africa,Middle Africa,2,202,17,1,0,0,Developing,1
660,AIA,Anguilla,Latin America and the Caribbean,Americas,Caribbean,19,419,29,0,0,1,Developing,1
248,ALA,Åland Islands,Northern Europe,Europe,,150,154,,0,0,0,Developed,1
8,ALB,Albania,Southern Europe,Europe,,150,39,,0,0,0,Developed,1
20,AND,Andorra,Southern Europe,Europe,,150,39,,0,0,0,Developed,1
784,ARE,United Arab Emirates,Western Asia,Asia,,142,145,,0,0,0,Developing,1
32,ARG,Argentina,Latin America and the Caribbean,Americas,South America,19,419,5,0,0,0,Developing,1
51,ARM,Armenia,Western Asia,Asia,,142,145,,0,1,0,Developing,1
16,ASM,American Samoa,Polynesia,Oceania,,9,61,,0,0,1,Developing,1
10,ATA,Antarctica,,,,,,,,0,,,1
260,ATF,French Southern Territories,Sub-Saharan Africa,Africa,Eastern Africa,2,202,14,0,0,0,Developing,1
28,ATG,Antigua and Barbuda,Latin America and the Caribbean,Americas,Caribbean,19,419,29,0,0,1,Developing,1
36,AUS,Australia,Australia and New Zealand,Oceania,,9,53,,0,0,0,Developed,1
40,AUT,Austria,Western Europe,Europe,,150,155,,0,0,0,Developed,1
31,AZE,Azerbaijan,Western Asia,Asia,,142,145,,0,1,0,Developing,1
108,BDI,Burundi,Sub-Saharan Africa,Africa,Eastern Africa,2,202,14,1,1,0,Developing,1
56,BEL,Belgium,Western Europe,Europe,,150,155,,0,0,0,Developed,1
204,BEN,Benin,Sub-Saharan Africa,Africa,Western Africa,2,202,11,1,0,0,Developing,1
535,BES,"Bonaire, Sint Eustatius and Saba",Latin America and the Caribbean,Americas,Caribbean,19,419,29,0,0,1,Developing,1
854,BFA,Burkina Faso,Sub-Saharan Africa,Africa,Western Africa,2,202,11,1,1,0,Developing,1
50,BGD,Bangladesh,Southern Asia,Asia,,142,34,,1,0,0,Developing,1
100,BGR,Bulgaria,Eastern Europe,Europe,,150,151,,0,0,0,Developed,1
48,BHR,Bahrain,Western Asia,Asia,,142,145,,0,0,0,Developing,1
44,BHS,Bahamas,Latin America and the Caribbean,Americas,Caribbean,19,419,29,0,0,1,Developing,1
70,BIH,Bosnia and Herzegovina,Southern Europe,Europe,,150,39,,0,0,0,Developed,1
652,BLM,Saint Barthélemy,Latin America and the Caribbean,Americas,Caribbean,19,419,29,0,0,0,Developing,1
112,BLR,Belarus,Eastern Europe,Europe,,150,151,,0,0,0,Developed,1
84,BLZ,Belize,Latin America and the Caribbean,Americas,Central America,19,419,13,0,0,1,Developing,1
60,BMU,Bermuda,Northern America,Americas,,19,21,,0,0,0,Developed,1
68,BOL,Bolivia (Plurinational State of),Latin America and the Caribbean,Americas,South America,19,419,5,0,1,0,Developing,1
76,BRA,Brazil,Latin America and the Caribbean,Americas,South America,19,419,5,0,0,0,Developing,1
52,BRB,Barbados,Latin America and the Caribbean,Americas,Caribbean,19,419,29,0,0,1,Developing,1
96,BRN,Brunei Darussalam,South-eastern Asia,Asia,,142,35,,0,0,0,Developing,1
64,BTN,Bhutan,Southern Asia,Asia,,142,34,,1,1,0,Developing,1
74,BVT,Bouvet Island,Latin America and the Caribbean,Americas,South America,19,419,5,0,0,0,Developing,1
72,BWA,Botswana,Sub-Saharan Africa,Africa,Southern Africa,2,202,18,0,1,0,Developing,1
140,CAF,Central African Republic,Sub-Saharan Africa,Africa,Middle Africa,2,202,17,1,1,0,Developing,1
124,CAN,Canada,Northern America,Americas,,19,21,,0,0,0,Developed,1
166,CCK,Cocos (Keeling) Islands,Australia and New Zealand,Oceania,,9,53,,0,0,0,Developed,1
756,CHE,Switzerland,Western Europe,Europe,,150,155,,0,0,0,Developed,1
152,CHL,Chile,Latin America and the Caribbean,Americas,South America,19,419,5,0,0,0,Developing,1
156,CHN,China,Eastern Asia,Asia,,142,30,,0,0,0,Developing,1
384,CIV,Côte d’Ivoire,Sub-Saharan Africa,Africa,Western Africa,2,202,11,0,0,0,Developing,1
120,CMR,Cameroon,Sub-Saharan Africa,Africa,Middle Africa,2,202,17,0,0,0,Developing,1
180,COD,Democratic Republic of the Congo,Sub-Saharan Africa,Africa,Middle Africa,2,202,17,1,0,0,Developing,1
178,COG,Congo,Sub-Saharan Africa,Africa,Middle Africa,2,202,17,0,0,0,Developing,1
184,COK,Cook Islands,Polynesia,Oceania,,9,61,,0,0,1,Developing,1
170,COL,Colombia,Latin America and the Caribbean,Americas,South America,19,419,5,0,0,0,Developing,1
174,COM,Comoros,Sub-Saharan Africa,Africa,Eastern Africa,2,202,14,1,0,1,Developing,1
132,CPV,Cabo Verde,Sub-Saharan Africa,Africa,Western Africa,2,202,11,0,0,1,Developing,1
188,CRI,Costa Rica,Latin America and the Caribbean,Americas,Central America,19,419,13,0,0,0,Developing,1
192,CUB,Cuba,Latin America and the Caribbean,Americas,Caribbean,19,419,29,0,0,1,Developing,1
531,CUW,Curaçao,Latin America and the Caribbean,Americas,Caribbean,19,419,29,0,0,1,Developing,1
162,CXR,Christmas Island,Australia and New Zealand,Oceania,,9,53,,0,0,0,Developed,1
136,CYM,Cayman Islands,Latin America and the Caribbean,Americas,Caribbean,19,419,29,0,0,0,Developing,1
196,CYP,Cyprus,Western Asia,Asia,,142,145,,0,0,0,Developed,1
203,CZE,Czechia,Eastern Europe,Europe,,150,151,,0,0,0,Developed,1
276,DEU,Germany,Western Europe,Europe,,150,155,,0,0,0,Developed,1
262,DJI,Djibouti,Sub-Saharan Africa,Africa,Eastern Africa,2,202,14,1,0,0,Developing,1
212,DMA,Dominica,Latin America and the Caribbean,Americas,Caribbean,19,419,29,0,0,1,Developing,1
208,DNK,Denmark,Northern Europe,Europe,,150,154,,0,0,0,Developed,1
