iso;name;subregion;region;intermediate_name;global_code;global_name;region_code;subregion_code;intermediate_region_code;M49_code;LDC;LLDC;SIDS;developed
DZA;Algeria;Northern Africa;Africa;;1;World;2;15;;12;;;;Developing
EGY;Egypt;Northern Africa;Africa;;1;World;2;15;;818;;;;Developing
LBY;Libya;Northern Africa;Africa;;1;World;2;15;;434;;;;Developing
MAR;Morocco;Northern Africa;Africa;;1;World;2;15;;504;;;;Developing
SDN;Sudan;Northern Africa;Africa;;1;World;2;15;;729;x;;;Developing
TUN;Tunisia;Northern Africa;Africa;;1;World;2;15;;788;;;;Developing
ESH;Western Sahara;Northern Africa;Africa;;1;World;2;15;;732;;;;Developing
AGO;Angola;Sub-Saharan Africa;Africa;Middle Africa;1;World;2;202;17;24;x;;;Developing
BEN;Benin;Sub-Saharan Africa;Africa;Western Africa;1;World;2;202;11;204;x;;;Developing
BWA;Botswana;Sub-Saharan Africa;Africa;Southern Africa;1;World;2;202;18;72;;x;;Developing
IOT;British Indian Ocean Territory;Sub-Saharan Africa;Africa;Eastern Africa;1;World;2;202;14;86;;;;Developing
BFA;Burkina Faso;Sub-Saharan Africa;Africa;Western Africa;1;World;2;202;11;854;x;x;;Developing
BDI;Burundi;Sub-Saharan Africa;Africa;Eastern Africa;1;World;2;202;14;108;x;x;;Developing
CPV;Cabo Verde;Sub-Saharan Africa;Africa;Western Africa;1;World;2;202;11;132;;;x;Developing
CMR;Cameroon;Sub-Saharan Africa;Africa;Middle Africa;1;World;2;202;17;120;;;;Developing
CAF;Central African Republic;Sub-Saharan Africa;Africa;Middle Africa;1;World;2;202;17;140;x;x;;Developing
TCD;Chad;Sub-Saharan Africa;Africa;Middle Africa;1;World;2;202;17;148;x;x;;Developing
COM;Comoros;Sub-Saharan Africa;Africa;Eastern Africa;1;World;2;202;14;174;x;;x;Developing
COG;Congo;Sub-Saharan Africa;Africa;Middle Africa;1;World;2;202;17;178;;;;Developing
CIV;Côte d’Ivoire;Sub-Saharan Africa;Africa;Western Africa;1;World;2;202;11;384;;;;Developing
COD;Democratic Republic of the Congo;Sub-Saharan Africa;Africa;Middle Africa;1;World;2;202;17;180;x;;;Developing
DJI;Djibouti;Sub-Saharan Africa;Africa;Eastern Africa;1;World;2;202;14;262;x;;;Developing
GNQ;Equatorial Guinea;Sub-Saharan Africa;Africa;Middle Africa;1;World;2;202;17;226;;;;Developing
ERI;Eritrea;Sub-Saharan Africa;Africa;Eastern Africa;1;World;2;202;14;232;x;;;Developing
SWZ;Eswatini;Sub-Saharan Africa;Africa;Southern Africa;1;World;2;202;18;748;;x;;Developing
ETH;Ethiopia;Sub-Saharan Africa;Africa;Eastern Africa;1;World;2;202;14;231;x;x;;Developing
ATF;French Southern Territories;Sub-Saharan Africa;Africa;Eastern Africa;1;World;2;202;14;260;;;;Developing
GAB;Gabon;Sub-Saharan Africa;Africa;Middle Africa;1;World;2;202;17;266;;;;Developing
GMB;Gambia;Sub-Saharan Africa;Africa;Western Africa;1;World;2;202;11;270;x;;;Developing
GHA;Ghana;Sub-Saharan Africa;Africa;Western Africa;1;World;2;202;11;288;;;;Developing
GIN;Guinea;Sub-Saharan Africa;Africa;Western Africa;1;World;2;202;11;324;x;;;Developing
GNB;Guinea-Bissau;Sub-Saharan Africa;Africa;Western Africa;1;World;2;202;11;624;x;;x;Developing
KEN;Kenya;Sub-Saharan Africa;Africa;Eastern Africa;1;World;2;202;14;404;;;;Developing
LSO;Lesotho;Sub-Saharan Africa;Africa;Southern Africa;1;World;2;202;18;426;x;x;;Developing
LBR;Liberia;Sub-Saharan Africa;Africa;Western Africa;1;World;2;202;11;430;x;;;Developing
MDG;Madagascar;Sub-Saharan Africa;Africa;Eastern Africa;1;World;2;202;14;450;x;;;Developing
MWI;Malawi;Sub-Saharan Africa;Africa;Eastern Africa;1;World;2;202;14;454;x;x;;Developing
MLI;Mali;Sub-Saharan Africa;Africa;Western Africa;1;World;2;202;11;466;x;x;;Developing
MRT;Mauritania;Sub-Saharan Africa;Africa;Western Africa;1;World;2;202;11;478;x;;;Developing
MUS;Mauritius;Sub-Saharan Africa;Africa;Eastern Africa;1;World;2;202;14;480;;;x;Developing
MYT;Mayotte;Sub-Saharan Africa;Africa;Eastern Africa;1;World;2;202;14;175;;;;Developing
MOZ;Mozambique;Sub-Saharan Africa;Africa;Eastern Africa;1;World;2;202;14;508;x;;;Developing
NAM;Namibia;Sub-Saharan Africa;Africa;Southern Africa;1;World;2;202;18;516;;;;Developing
NER;Niger;Sub-Saharan Africa;Africa;Western Africa;1;World;2;202;11;562;x;x;;Developing
NGA;Nigeria;Sub-Saharan Africa;Africa;Western Africa;1;World;2;202;11;566;;;;Developing
REU;Réunion;Sub-Saharan Africa;Africa;Eastern Africa;1;World;2;202;14;638;;;;Developing
RWA;Rwanda;Sub-Saharan Africa;Africa;Eastern Africa;1;World;2;202;14;646;x;x;;Developing
SHN;Saint Helena;Sub-Saharan Africa;Africa;Western Africa;1;World;2;202;11;654;;;;Developing
STP;Sao Tome and Principe;Sub-Saharan Africa;Africa;Middle Africa;1;World;2;202;17;678;x;;x;Developing
SEN;Senegal;Sub-Saharan Africa;Africa;Western Africa;1;World;2;202;11;686;x;;;Developing
SYC;Seychelles;Sub-Saharan Africa;Africa;Eastern Africa;1;World;2;202;14;690;;;x;Developing
SLE;Sierra Leone;Sub-Saharan Africa;Africa;Western Africa;1;World;2;202;11;694;x;;;Developing
SOM;Somalia;Sub-Saharan Africa;Africa;Eastern Africa;1;World;2;202;14;706;x;;;Developing
ZAF;South Africa;Sub-Saharan Africa;Africa;Southern Africa;1;World;2;202;18;710;;;;Developing
SSD;South Sudan;Sub-Saharan Africa;Africa;Eastern Africa;1;World;2;202;14;728;x;x;;Developing
TGO;Togo;Sub-Saharan Africa;Africa;Western Africa;1;World;2;202;11;768;x;;;Developing
UGA;Uganda;Sub-Saharan Africa;Africa;Eastern Africa;1;World;2;202;14;800;x;x;;Developing
TZA;United Republic of Tanzania;Sub-Saharan Africa;Africa;Eastern Africa;1;World;2;202;14;834;x;;;Developing
ZMB;Zambia;Sub-Saharan Africa;Africa;Eastern Africa;1;World;2;202;14;894;x;x;;Developing
